company_number,company_name,employees,turnover,balance_sheet,accounts_date
00221321,LEIGHTON BUZZARD SPORTS ASSOCIATION LIMITED,0.0,,15258.0,31 Decembe
00005254,The Manchester Law Society,3.0,,202050.0,31 Decembe
00082384,NETHERLANDS-BRITISH CHAMBER OF COMMERCE(THE),3.0,,9138.0,31 Decembe
00175597,PARKINSON-SPENCER REFRACTORIES LIMITED,96.0,9042872.0,3144242.0,31 Decembe
00376876,FEDERATION DES ASSOCIATIONS FRANCAISES EN GRANDE BRETAGNE LIMITED,3.0,,100.0,31 Decembe
00200073,ALFRED COX & SONS (BRIGHTON) LIMITED,1.0,,423.0,31 Decembe
00345529,BETTIX LIMITED,44.0,,422605.0,31 Decembe
00171327,Widdop Bingham & Co Limited,125.0,21566666.0,664514.0,31 Decembe
00317629,WRIGHT BROS.(W'HAMPTON)LIMITED,0.0,,42484.0,31 August 
00272622,Reginald Ford Limited,3.0,,54480.0,31 August 
00222672,EXE VALLEY FISHERY LIMITED,5.0,,369974.0,30/09/2025
00365912,Dance News Limited,1.0,,160580.0,30 Septemb
00105701,West Bradford Bowling Club Limited(The),5.0,,13278.0,30 Septemb
00395108,Brightley Mill Limited,,,295373.0,30 Septemb
00097506,Worlebury Golf Club Limited (The),0.0,,12087.0,30 Septemb
00166438,"Hull & East Riding Amateur Athletic Company,Limited(The)",0.0,,22357.0,30 Septemb
00305358,EDITH TIMPERLEY LIMITED,1.0,,15223.0,30 Septemb
00011692,Prestwich Liberal Club Building Co Ltd,0.0,,1600000.0,30 Septemb
00152507,Grand Pier Limited,153.0,6557887.0,23862999.0,30 March 2
00184166,OLD DUNSTONIANS SPORTS CLUB LIMITED,12.0,,28652.0,30 March 2
00122679,"CHARLES NORMAN,LIMITED",2.0,,787.0,30 June 20
00257380,Boyriven Limited,9.0,,1024296.0,30 June 20
00091818,Thirsk Farmers Auction Mart Company Limited,24.0,,6348835.0,30 June 20
00055547,ST EDMUND'S COLLEGE CAMBRIDGE,,,0.0,30 June 20
00257439,Edgar Watts Limited,11.0,,947575.0,30 June 20
00219018,DECORATIVE PLASTER COMPANY (NEWCASTLE) LIMITED,0.0,,0.0,30 June 20
00337878,"NODOR COMPANY,LIMITED(THE)",2.0,,0.0,30 Decembe
00379760,James L. Nash Limited,3.0,,303615.0,30 April 2
00106036,Watford Theatre Company Ltd,4.0,,21801.0,30 April 2
00296142,"GREAVES AND HARVEY,LIMITED",3.0,,410501.0,30 April 2
00256754,Gibsons International Limited,1.0,,1000.0,30 April 2
