company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name
07061135,Day Webster Limited,626,,238373.0,,EMPLOYEE_TEST,,
07065923,GREENWICH SERVICE PLUS LIMITED,291,24881586.0,11559315.0,,EMPLOYEE_TEST,,
07180998,ZED 1 ENTERPRISES LIMITED,253,11952294.0,1440301.0,,EMPLOYEE_TEST,,
07439914,THINK DRINKS LIMITED,13000,,872000.0,,EMPLOYEE_TEST,,
07474135,Nationwide Healthcare Providers Limited,272,30207997.0,8188492.0,,EMPLOYEE_TEST,,
07864027,HARBOUR HEALTHCARE LTD,1234,,55600194.0,,EMPLOYEE_TEST,,
08030655,Taurus Healthcare Ltd,367,,2981844.0,,EMPLOYEE_TEST,,
08131752,DOMINO'S PIZZA WEST COUNTRY LIMITED,472,15853383.0,2773034.0,,EMPLOYEE_TEST,,
08380483,Speira UK Limited,9000,1531000.0,1960000.0,,EMPLOYEE_TEST,,
08444296,Sweeptech Environmental Services Limited,261,,13102408.0,,EMPLOYEE_TEST,,
08798304,SureStaffing UK Limited,283,,312146.0,,EMPLOYEE_TEST,,
09020971,COUNTRY COURT CARE HOMES 2 LIMITED,1498,63844055.0,170341578.0,,EMPLOYEE_TEST,,
09049900,Silver Birch Care (Holdings) Limited,364,,20060426.0,,EMPLOYEE_TEST,,
09147067,LYCA LEASING HOLDING LIMITED,612,,6518832.0,,EMPLOYEE_TEST,,
09442336,Community Lives Consortium,448,,1369495.0,,EMPLOYEE_TEST,,
09501942,ASSOCIATED CONTINUITY TEAMS HOLDINGS LIMITED,479,,-107661.0,,EMPLOYEE_TEST,,
09519658,ROTHERWOOD GROUP LIMITED,349,,12485536.0,,EMPLOYEE_TEST,,
09687256,BJF GROUP LIMITED,333,,10005.0,,EMPLOYEE_TEST,,
09784762,COUNTRY COURT CARE HOMES 3 OPCO LIMITED,323,16563113.0,11287697.0,,EMPLOYEE_TEST,,
09813979,COUNTRY COURT CARE GROUP LIMITED,2548,,205.0,,EMPLOYEE_TEST,,
09826810,TRISTONE HEALTHCARE LIMITED,638,,53386.0,,EMPLOYEE_TEST,,
09962699,Adara Group Limited,261,,19618455.0,,EMPLOYEE_TEST,,
09964786,CENTRAL CONNECT TRANSPORT LIMITED,347,,16449886.0,,EMPLOYEE_TEST,,
10072435,Boluda Towage UK Ltd,323,,86769199.0,,EMPLOYEE_TEST,,
10090444,ASH GROUP (UK) LIMITED,344,,12075346.0,,EMPLOYEE_TEST,,
10300839,PERSONAS GROUP LIMITED,539,,91.0,,EMPLOYEE_TEST,,
10375720,Ingleton Wood Services Limited,279,17588346.0,2518645.0,,EMPLOYEE_TEST,,
10471893,N W E S Group Ltd,454,,5000.0,,EMPLOYEE_TEST,,
10487556,SUDHIR POWER (UK) LIMITED,647,,18140769.0,,EMPLOYEE_TEST,,
10668549,TRISTONE GROUP LTD,638,,509554.0,,EMPLOYEE_TEST,,
11263567,Kirklands Care Limited,326,,12742879.0,,EMPLOYEE_TEST,,
11403737,NIANTIC INTERNATIONAL LIMITED,3,701004687.0,133735871.0,,FINANCIAL_TEST,,
11606364,VIBE RECRUIT LIMITED,541,16815909.0,20922.0,,EMPLOYEE_TEST,,
11608944,TINIES LONDON & INTERNATIONAL LTD,361,,282342.0,,EMPLOYEE_TEST,,
11797247,ZAM FM LTD,410,,811818.0,,EMPLOYEE_TEST,,
11877576,Ensco 1330 Limited,726,,2700.0,,EMPLOYEE_TEST,,
12210720,CLARITY UMBRELLA LTD,399,49911780.0,436236.0,,EMPLOYEE_TEST,,
12336824,HARBOUR HEALTHCARE SW LIMITED,257,,-313167.0,,EMPLOYEE_TEST,,
12369890,CAPULET HOLDINGS LIMITED,344,,16470478.0,,EMPLOYEE_TEST,,
12477148,PURDY & FIGG LTD,70000,39304000.0,1285000.0,,EMPLOYEE_TEST,,
12979708,Brimhams Active Limited,430,,-627401.0,,EMPLOYEE_TEST,,
13045458,COUNTRY COURT CARE HOMES 7 OPCO LIMITED,273,13085873.0,3659265.0,,EMPLOYEE_TEST,,
13165982,ICS UK (1976) Limited,313,,15544325.0,,EMPLOYEE_TEST,,
13484093,Ridge Crest Holdings Limited,761,,2078365.0,,EMPLOYEE_TEST,,
13612105,OVM Holdings Ltd,257,,4002.0,,EMPLOYEE_TEST,,
13797930,Emscott Holdings Limited,438,,7445141.0,,EMPLOYEE_TEST,,
13874055,Estel Media Holdco Limited,251,,9406000.0,,EMPLOYEE_TEST,,
13903815,VCMP UK LIMITED,899,72122857.0,-3416557.0,,EMPLOYEE_TEST,,
14199213,HARBOUR HEALTHCARE GROUP LIMITED,1670,,6351811.0,,EMPLOYEE_TEST,,
14199715,HARBOUR HEALTHCARE HOLDINGS LTD,439,,1500009.0,,EMPLOYEE_TEST,,
14221255,NANTSTREAM LIMITED,476,,19607014.0,,EMPLOYEE_TEST,,
