company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
12753911,EFS Investments Limited,575,84263348.0,25870959.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Efs Global, Pendle House, Phoenix Way, Burnley, BB11 5SX",49410
11606364,VIBE RECRUIT LIMITED,541,16815909.0,20922.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 3a, Lakeside Court, Llantarnam Park, Cwmbran, NP44 3GA",70229;88100
10300839,PERSONAS GROUP LIMITED,539,,91.0,,EMPLOYEE_TEST,,,active,england-wales,"Bicester Innovation Centre 110 Commerce House, Telford Road, Bicester, OX26 4LD",64209
OC368517,WASSERMAN EMEA LLP,537,,16593000.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"71-91 7th Floor, Aldwych House, Aldwych, London, WC2B 4HN",
02698436,CUERDEN ESTATES LIMITED,528,30787225.0,13142710.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 6 Beecham Court, Pemberton, Wigan, WN3 6PR",42990
09229684,BABYLON HEALTHCARE SERVICES LIMITED,522,29285786.0,6904548.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"184 - 192 Drummond Street, London, NW1 3HP",86900
SC597416,WONDERWORLD HOLDINGS LTD,513,,201.0,,EMPLOYEE_TEST,,,active,scotland,"Oakfield House, 378 Brandon Street, Motherwell, ML1 1XA",96090
04673404,4th Dimension Innovation Limited,501,85921545.0,7412845.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"5 Alpha Way, Thorpe Industrial Estate, Egham, TW20 8RZ",66290
12018020,GLANSO UK LIMITED,500,,2839359.0,31/03/2025,EMPLOYEE_TEST,,,active,england-wales,"Atherton House, Hollybush Lane, Bristol, BS9 1JB",86220
02358974,Ovalseal Limited,489,,30004.0,,EMPLOYEE_TEST,,,active,england-wales,"6-8 Old Hall Road, Gatley, Cheadle, Cheshire, SK8 4BE",70100
09501942,ASSOCIATED CONTINUITY TEAMS HOLDINGS LIMITED,479,,-107661.0,,EMPLOYEE_TEST,,,active,england-wales,"Wg01 Vox Studios 1-45 Durham Street, Vauxhall, London, SE11 5JH",82990
NI055050,MANFREIGHT LIMITED,478,77760053.0,49550185.0,2025-03-31,EMPLOYEE_TEST,,,active,northern-ireland,"Unit 4 2a Carn Court Road, Portadown, Craigavon, BT63 5YX",49410
05807304,ASSOCIATED CONTINUITY TEAMS LIMITED,477,8670099.0,189341.0,,EMPLOYEE_TEST,,,active,england-wales,"Wg01 Vox Studios 1-45 Durham Street, Vauxhall, London, SE11 5JH",96090
14221255,NANTSTREAM LIMITED,476,,19607014.0,,EMPLOYEE_TEST,,,active,england-wales,"Lbs Business Centre, Parc Amanwy, Ammanford, SA18 3FE",64209
08131752,DOMINO'S PIZZA WEST COUNTRY LIMITED,472,15853383.0,2773034.0,,EMPLOYEE_TEST,,,active,england-wales,"C/O Cooper Parry Sky View Argosy Road, East Midlands Airport, Derby, DE74 2SA",56103
07886297,Michels and Taylor (London) Limited,462,28991329.0,2276921.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"Suite 3 Caspian House, The Waterfront, Elstree Road, WD6 3BS",96090
05719828,WORKCHAIN LTD,458,13153950.0,20940.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Ely House, Wyvern Business Park, Stephensons Way, Derby, DE21 6LY",78200
10471893,N W E S Group Ltd,454,,5000.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 5a Longton Business Park Station Road, Little Hoole, Preston, PR4 5LE",64209
